0.00,65,75,84,154,75,75
8.40,146,146,167,165,71,91
13.00,158,78,206,177,54,61
16.07,114,64,148,156,54,73
21.73,157,175,147,148,45,43
32.27,161,171,197,130,41,58
42.07,117,84,166,76,86,65
43.73,165,180,184,95,39,58
52.07,38,82,50,117,30,56
56.20,181,193,185,179,71,80
